agency_cd	site_no	datetime	18601_00060_00003	18601_00060_00003_cd
5s	15s	20d	14n	10s
USGS	09066325	2001-01-08	14.0	A
USGS	09066325	2001-01-09	15.0	A
USGS	09066325	2001-01-10	15.0	A
USGS	09066325	2001-01-11	15.0	A
USGS	09066325	2001-01-12	15.0	A
USGS	09066325	2001-01-13	15.0	A
USGS	09066325	2001-01-14	15.0	A
USGS	09066325	2001-01-15	15.0	A
USGS	09066325	2001-01-16	15.0	A
USGS	09066325	2001-01-17	14.0	A
USGS	09066325	2001-01-18	15.0	A
USGS	09066325	2001-01-19	14.0	A
USGS	09066325	2001-01-20	14.0	A
USGS	09066325	2001-01-21	14.0	A
USGS	09066325	2001-01-22	14.0	A
USGS	09066325	2001-01-23	15.0	A
USGS	09066325	2001-01-24	15.0	A
USGS	09066325	2001-01-25	15.0	A
USGS	09066325	2001-01-26	15.0	A
USGS	09066325	2001-01-27	15.0	A
USGS	09066325	2001-01-28	15.0	A
USGS	09066325	2001-01-29	15.0	A
USGS	09066325	2001-01-30	15.0	A
USGS	09066325	2001-01-31	15.0	A
USGS	09066325	2001-02-01	15.0	A
USGS	09066325	2001-02-02	16.0	A
USGS	09066325	2001-02-03	16.0	A
USGS	09066325	2001-02-04	16.0	A
USGS	09066325	2001-02-05	16.0	A
USGS	09066325	2001-02-06	16.0	A
USGS	09066325	2001-02-07	16.0	A
USGS	09066325	2001-02-08	16.0	A
USGS	09066325	2001-02-09	15.0	A
USGS	09066325	2001-02-10	15.0	A
USGS	09066325	2001-02-11	15.0	A
USGS	09066325	2001-02-12	15.0	A
USGS	09066325	2001-02-13	15.0	A
USGS	09066325	2001-02-14	15.0	A
USGS	09066325	2001-02-15	15.0	A
USGS	09066325	2001-02-16	14.0	A
USGS	09066325	2001-02-17	15.0	A
USGS	09066325	2001-02-18	15.0	A
USGS	09066325	2001-02-19	15.0	A
USGS	09066325	2001-02-20	15.0	A
USGS	09066325	2001-02-21	14.0	A
USGS	09066325	2001-02-22	14.0	A
USGS	09066325	2001-02-23	14.0	A
USGS	09066325	2001-02-24	14.0	A
USGS	09066325	2001-02-25	14.0	A
USGS	09066325	2001-02-26	14.0	A
USGS	09066325	2001-02-27	14.0	A
